Names,Length,Type,Extracted Value,Extracted Units,Normalised Value,Normalised Units,Confidence ,Tolerance Factor,Ionic Displacement,Authors,DOI,Journal,Title,_id,        
"[""AgSbO3""]",10,Curie,280,°C,553,K,,,,"[""Bomlai, Pornsuda"",""Muensit, Nantakan"",""Milne, Steven J.""]",10.1016/j.ceramint.2012.10.049,Ceramics International,Structural and electrical properties of Na0.47K0.47Li0.06NbO3 lead-free piezoelectric ceramics modified by AgSbO3 ,ObjectId(5a16cb85d6183a5a71050b74),
"[""BaCO3""]",9,Curie,98,K,98,K,,,,"[""Yamamoto, Ayako"",""Hu, Wei-Zhi"",""Izumi, Fujio"",""Tajima, Setsuko""]",10.1016/S0921-4534(00)01641-5,Physica C: Superconductivity,Superconducting and structural properties of nearly carbonate-free HgBa2CuO4+δ ,ObjectId(5a230078d6183a3105f2654b),
"[""BaFeO3""]",10,Curie,250,K,250,K,,,,"[""Noura, Hamdad""]",10.1016/j.spmi.2014.10.004,Superlattices and Microstructures,"GGA+U–DFT+U modeling structural, electronic and magnetic properties investigation on the ferromagnetic and anti-ferromagnetic BaFeO3 characteristics: Insights from First-principle calculation ",ObjectId(5a19fea9d6183a1812613aa4),
"[""BaSnO3""]",10,Curie,31–33,°C,304.0-306.0,K,,,,"[""Cernea, Marin"",""Trusca, Roxana"",""Radu, Roxana"",""Valsangiacom, Cristina""]",10.1016/j.jallcom.2011.07.101,Journal of Alloys and Compounds,Ba(Ti1−xSnx)O3 (x=0.13) nanomaterials produced by low-temperature aqueous synthesis ,ObjectId(5a13a74ad6183a1b67afee43),
"[""BaTiO3""]",10,Curie,830,°C,1103,K,,,,"[""Lingling Luo"",""Na Jiang"",""Fengying Lei"",""Yongquan Guo"",""Qiaoji Zheng"",""Dunmin Lin""]",10.1007/s10854-014-1792-7,Journal of Materials Science: Materials in Electronics,"Phase transition, ferroelectric and piezoelectric properties of Bi(Mg0.5Zr0.5)O3-modified BiFeO3–BaTiO3 lead-free ceramics",ObjectId(5a0ae107d6183a247a493183),
"[""CaRuO3""]",10,Curie,105,K,105,K,,,,"[""Cao, G"",""Song, W.H"",""Sun, Y.P"",""Lin, X.N""]",10.1016/j.ssc.2004.03.001,Solid State Communications,"Violation of the Mott–Ioffe–Regel limit: high-temperature resistivity of itinerant magnets Srn+1RunO3n+1 (n=2,3,∞) and CaRuO3 ",ObjectId(5a13e4c3d6183a1b67aff042),
"[""CaTiO3""]",10,Curie,314,°C,587,K,,,,"[""D. Q. Xiao"",""J. G. Wu"",""L. Wu"",""J. G. Zhu"",""P. Yu"",""D. M. Lin"",""Y. W. Liao"",""Y. Sun""]",10.1007/s10853-009-3543-3,Journal of Materials Science,Investigation on the composition design and properties study of perovskite lead-free piezoelectric ceramics,ObjectId(5a0b1c44d6183a247a49339c),
"[""CaZrO3""]",10,Curie,~200,°C,~473.0,K,,,,"[""Jiagang Wu"",""Dingquan Xiao"",""Jianguo Zhu""]",10.1007/s10854-015-3084-2,Journal of Materials Science: Materials in Electronics,Potassium–sodium niobate lead-free piezoelectric ceramics: recent advances and perspectives,ObjectId(5a0c8376d6183a6210e12e7c),
"[""CuSeO3""]",10,Curie,26,K,26,K,,,,"[""Seshadri, Ram""]",10.1016/j.cossms.2006.03.002,Current Opinion in Solid State and Materials Science,Zinc oxide-based diluted magnetic semiconductors ,ObjectId(5a130424d6183a1b67afe83c),
"[""EuMnO3""]",10,Curie,36,K,36,K,,,,"[""E. Sagar"",""N. Pavan Kumar"",""Jian Zhu"",""Yemin Hu"",""P. Venugopal Reddy""]",10.1007/s10948-014-2580-6,Journal of Superconductivity and Novel Magnetism,Investigation of Magnetocaloric Behavior of Sr-Doped EuMnO3,ObjectId(5a0bad27d6183a247a4937df),
"[""GdFeO3""]",10,Curie,2.5,K,2.5,K,,,,"[""Rana Saha"",""A. Sundaresan"",""C. N. R. Rao"",""Rana Saha"",""A. Sundaresan"",""C. N. R. Rao""]",10.1039/c3mh00073g,Materials Horizons,Novel features of multiferroic and magnetoelectric ferrites and chromites exhibiting magnetically driven ferroelectricity,ObjectId(5a0df426d6183a4ef9eaa03c),
"[""HoMnO3""]",10,Curie,1298,K,1298,K,,,,"[""Selbach, Sverre M."",""Nordli Løvik, Amund"",""Bergum, Kristin"",""Tolchard, Julian R."",""Einarsrud, Mari-Ann"",""Grande, Tor""]",10.1016/j.jssc.2012.07.024,Journal of Solid State Chemistry,"Crystal structure, chemical expansion and phase stability of HoMnO3 at high temperature ",ObjectId(5a1454a9d6183a65535a02ea),
"[""KNbO3""]",9,Curie,30,°C,303,K,,,,"[""Lee, Soonil"",""Bock, Jonathan A."",""Trolier-McKinstry, Susan"",""Randall, Clive A.""]",10.1016/j.jeurceramsoc.2012.06.007,Journal of the European Ceramic Society,Ferroelectric-thermoelectricity and Mott transition of ferroelectric oxides with high electronic conductivity ,ObjectId(5a1a096cd6183a1812613b34),
"[""KTaO3""]",9,Curie,5,K,5,K,,,,"[""Katayama, Ikufumi"",""Shirai, Masanobu"",""Tanaka, Koichiro""]",10.1016/S0022-2313(02)00522-7,Journal of Luminescence,High-frequency nonlinear microwave response in quantum paraelectric potassium tantalate ,ObjectId(5a133eabd6183a1b67afea62),
"[""LaAlO3""]",10,Curie,646.5,K,646.5,K,,,,"[""Whittle, Karl R."",""Lumpkin, Gregory R."",""Blackford, Mark G."",""Aughterson, Robert D."",""Smith, Katherine L."",""Zaluzec, Nestor J.""]",10.1016/j.jssc.2010.07.033,Journal of Solid State Chemistry,Ion-beam irradiation of lanthanum compounds in the systems La2O3–Al2O3 and La2O3–TiO2 ,ObjectId(5a187bb2d6183a1812612d2e),
"[""LaCo3""]",9,Curie,711,K,711,K,,,,"[""Shimoda, A."",""Takao, K."",""Uji, K."",""Waki, T."",""Tabata, Y."",""Nakamura, H.""]",10.1016/j.jssc.2016.04.031,Journal of Solid State Chemistry,Flux growth of magnetoplumbite-type strontium ferrite single crystals with La–Co co-substitution ,ObjectId(5a137f6ed6183a1b67afeca7),
"[""LaCoO3""]",10,Curie,240,K,240,K,,,,"[""Ivanova, Sonya"",""Zhecheva, Ekaterina"",""Stoyanova, Radostina""]",10.1016/j.jpcs.2006.10.005,Journal of Physics and Chemistry of Solids,Microstructure of LaCoO3 prepared by freeze-drying of metal–citrate precursors revealed by EPR ,ObjectId(5a13973ed6183a1b67afedd7),
"[""LiNbO3""]",10,Curie,467,°C,740,K,,,,"[""Zong-Yang Shen"",""Yue-Ming Li"",""Liang Jiang"",""Run-Run Li"",""Zhu-Mei Wang"",""Yan Hong"",""Run-Hua Liao""]",10.1007/s10854-010-0261-1,Journal of Materials Science: Materials in Electronics,Phase transition and electrical properties of LiNbO3-modified K0.49Na0.51NbO3 lead-free piezoceramics,ObjectId(5a0b2d61d6183a247a49344a),
"[""LiSbO3""]",10,Curie,364,°C,637,K,,,,"[""D. Q. Xiao"",""J. G. Wu"",""L. Wu"",""J. G. Zhu"",""P. Yu"",""D. M. Lin"",""Y. W. Liao"",""Y. Sun""]",10.1007/s10853-009-3543-3,Journal of Materials Science,Investigation on the composition design and properties study of perovskite lead-free piezoelectric ceramics,ObjectId(5a0b1c44d6183a247a49339b),
"[""LiTaO3""]",10,Curie,583,K,583,K,,,,"[""Yasunobu Inoue"",""Yasunobu Inoue""]",10.1039/b816677n,Energy & Environmental Science,Photocatalytic water splitting by RuO2-loaded metal oxides and nitrides with d0- and d10 -related electronic configurations,ObjectId(5a0ba1c4d6183a247a493784),
"[""NaTaO3""]",10,Curie,748,K,748,K,,,,"[""Knight, Kevin S."",""Kennedy, Brendan J.""]",10.1016/j.solidstatesciences.2015.03.016,Solid State Sciences,Phase coexistence in NaTaO3 at room temperature; a high resolution neutron powder diffraction study ,ObjectId(5a0eed32d6183a12c6344a9b),
"[""NdVO3""]",9,Curie,138,K,138,K,,,,"[""Kimishima, Y."",""Uehara, M."",""Saitoh, T.""]",10.1016/j.ssc.2004.12.044,Solid State Communications,Ca-doping effects on N-type ferrimagnetism of NdVO3 ,ObjectId(5a2249c5d6183a3105f26374),
"[""SmVO3""]",9,Curie,130,K,130,K,,,,"[""Kimishima, Y"",""Nishida, S"",""Mizuno, T"",""Ichiyanagi, Y"",""Uehara, M""]",10.1016/S0038-1098(02)00187-4,Solid State Communications,Pressure effects on N-type ferrimagnet SmVO3 ,ObjectId(5a2843bdd6183a224bbd91b8),
"[""SrMnO3""]",10,Curie,260,K,260,K,,,,"[""M. E. Amano"",""I. Betancourt"",""J. L. Sánchez Llamazares"",""L. Huerta"",""C. F. Sánchez-Valdés""]",10.1007/s10853-013-7743-5,Journal of Materials Science,Mixed-valence La0.80(Ag1−xSrx)0.20MnO3 manganites with magnetocaloric effect,ObjectId(5a0c6689d6183a6210e12d2c),
"[""SrRuO3""]",10,Curie,165,K,165,K,,,,"[""Yao Ying"",""Jingwu Zheng"",""Liang Qiao"",""Wangchang Li"",""Wei Cai"",""Shenglei Che"",""Liqiang Jiang"",""Jiyu Fan"",""Min Lin""]",10.1007/s10948-015-3146-y,Journal of Superconductivity and Novel Magnetism,Double Exchange Interaction Between Mn3+ and Ru4+ Ions in La1−xSrxMn1−xRuxO3,ObjectId(5a0bb729d6183a247a493829),
"[""SrTeO3""]",10,Curie,3.7,°C,276.7,K,,,,"[""Lee, Soonil"",""Bock, Jonathan A."",""Trolier-McKinstry, Susan"",""Randall, Clive A.""]",10.1016/j.jeurceramsoc.2012.06.007,Journal of the European Ceramic Society,Ferroelectric-thermoelectricity and Mott transition of ferroelectric oxides with high electronic conductivity ,ObjectId(5a1a096cd6183a1812613b47),
"[""SrTiO3""]",10,Curie,800,K,800,K,,,,"[""Mariana Weissmann"",""V. Ferrari"",""Andrés Saúl""]",10.1007/s10853-010-4231-z,Journal of Materials Science,Ab initio study of magnetism at the TiO2/LaAlO3 interface,ObjectId(5a0adcbdd6183a247a493160),
"[""SrZrO3""]",10,Curie,244,°C,517,K,,,,"[""Lv, Xiang"",""Li, Zhuoyun"",""Wu, Jiagang"",""Xi, Jingwen"",""Gong, Meng"",""Xiao, Dingquan"",""Zhu, Jianguo""]",10.1016/j.matdes.2016.07.026,Materials & Design,Enhanced piezoelectric properties in potassium-sodium niobate-based ternary ceramics ,ObjectId(5a12ad5fd6183a1b67afe4d2),
"[""YbFeO3""]",10,Curie,470,K,470,K,,,,"[""Run-Lan Zhang"",""Chang-Le Chen"",""Ke-Xin Jin"",""Li-Wei Niu"",""Hui Xing"",""Bing-cheng Luo""]",10.1007/s10832-013-9869-x,Journal of Electroceramics,Dielectric behavior of hexagonal and orthorhombic YFeO3 prepared by modified sol-gel method,ObjectId(5a0ad1f2d6183a247a493119),
"[""YFeO3""]",9,Curie,470,K,470,K,,,,"[""Run-Lan Zhang"",""Chang-Le Chen"",""Ke-Xin Jin"",""Li-Wei Niu"",""Hui Xing"",""Bing-cheng Luo""]",10.1007/s10832-013-9869-x,Journal of Electroceramics,Dielectric behavior of hexagonal and orthorhombic YFeO3 prepared by modified sol-gel method,ObjectId(5a0ad1f2d6183a247a49311b),
"[""YMnO3""]",9,Curie,930,K,930,K,,,,"[""Run-Lan Zhang"",""Chang-Le Chen"",""Ke-Xin Jin"",""Li-Wei Niu"",""Hui Xing"",""Bing-cheng Luo""]",10.1007/s10832-013-9869-x,Journal of Electroceramics,Dielectric behavior of hexagonal and orthorhombic YFeO3 prepared by modified sol-gel method,ObjectId(5a0ad1f2d6183a247a493116),
